id;u_id;vendor;date;status
44d72ccd-44d0-4b29-88b1-db1756095203;1;Handmade;2022-02-19T08:38:07;ONLINE
f119e0aa-882b-44ee-a4d8-9e59f33f3c82;2;client-server Towels;2022-02-18T23:16:05;ONLINE
3462a951-fdde-416e-a10d-7dfc3809a3d9;3;Account;2022-02-19T14:27:48;OFFLINE
c3b7dcee-4cf4-4d91-9ee3-9e1bed2ad5bd;4;Nevada;2022-02-19T06:18:46;ONLINE
68fa0d0a-a405-4031-bd35-4dbb4f16f840;5;disintermediate Hat synthesize;2022-02-19T08:33:05;ONLINE
4b458ed4-0c77-4c5f-9fcd-a4a2c5da8f37;6;Forward cyan hard;2022-02-19T12:37:27;OFFLINE
12e0c1ee-5336-4e5b-a8da-962eb7168f02;7;innovate Right-sized Hampshire;2022-02-19T18:04:37;OFFLINE
b515833a-ca9c-457d-96e1-9fbcd048a7d7;9;navigate;2022-02-19T18:24:26;ONLINE
2c4693aa-21fc-4219-929f-d25c4f372789;10;Hampshire;2022-02-19T14:15:02;OFFLINE
c730326d-1c84-4613-85f4-dc77141228e6;11;invoice redundant;2022-02-19T01:22:04;ONLINE
